Time,Pressure
3.4715346E+02,9.2810280E+02
3.4815403E+02,9.2835732E+02
3.4915461E+02,9.2862473E+02
3.5015519E+02,9.2890129E+02
3.5115576E+02,9.2918427E+02
3.5215634E+02,9.2947701E+02
3.5315692E+02,9.2976227E+02
3.5415749E+02,9.3004242E+02
3.5515807E+02,9.3031761E+02
3.5615865E+02,9.3059074E+02
3.5715922E+02,9.3086502E+02
3.5815996E+02,9.3114090E+02
3.5916038E+02,9.3142029E+02
3.6016096E+02,9.3169579E+02
3.6116153E+02,9.3197937E+02
3.6216210E+02,9.3226891E+02
3.6316268E+02,9.3256073E+02
3.6416325E+02,9.3283829E+02
3.6516383E+02,9.3311409E+02
3.6616441E+02,9.3337296E+02
3.6716499E+02,9.3363274E+02
3.6816556E+02,9.3389374E+02
3.6916614E+02,9.3416512E+02
3.7016672E+02,9.3443695E+02
3.7116732E+02,9.3471985E+02
3.7216787E+02,9.3500359E+02
3.7316844E+02,9.3529610E+02
3.7416902E+02,9.3558525E+02
3.7516960E+02,9.3587212E+02
3.7617017E+02,9.3616150E+02
3.7717075E+02,9.3644539E+02
3.7817133E+02,9.3672501E+02
3.7917190E+02,9.3700279E+02
3.8017248E+02,9.3728394E+02
3.8117305E+02,9.3756371E+02
3.8217363E+02,9.3784904E+02
3.8317421E+02,9.3813423E+02
3.8417479E+02,9.3840614E+02
3.8517536E+02,9.3867996E+02
3.8617594E+02,9.3895599E+02
3.8717651E+02,9.3923019E+02
3.8817709E+02,9.3949921E+02
3.8917767E+02,9.3978561E+02
3.9017824E+02,9.4007019E+02
3.9117882E+02,9.4035278E+02
3.9217940E+02,9.4063065E+02
3.9317997E+02,9.4090973E+02
3.9418084E+02,9.4118370E+02
3.9518112E+02,9.4145287E+02
3.9618170E+02,9.4172516E+02
3.9718228E+02,9.4200958E+02
3.9818285E+02,9.4229561E+02
3.9918343E+02,9.4258148E+02
4.0018400E+02,9.4287392E+02
4.0118458E+02,9.4316795E+02
4.0218515E+02,9.4345573E+02
4.0318573E+02,9.4372932E+02
4.0418631E+02,9.4399735E+02
4.0518689E+02,9.4426231E+02
4.0618746E+02,9.4453812E+02
4.0718804E+02,9.4480934E+02
4.0818861E+02,9.4509506E+02
4.0918919E+02,9.4539261E+02
4.1018977E+02,9.4569359E+02
4.1119035E+02,9.4598312E+02
4.1219092E+02,9.4626823E+02
4.1319149E+02,9.4655792E+02
4.1419207E+02,9.4684532E+02
4.1519265E+02,9.4712448E+02
4.1619322E+02,9.4738365E+02
4.1719380E+02,9.4763626E+02
4.1819438E+02,9.4789505E+02
4.1919495E+02,9.4815262E+02
4.2019553E+02,9.4842796E+02
4.2119610E+02,9.4872322E+02
4.2219668E+02,9.4902634E+02
4.2319726E+02,9.4931816E+02
4.2419783E+02,9.4960495E+02
4.2519841E+02,9.4987579E+02
4.2619899E+02,9.5014923E+02
